time,winning_trader,winning_regulator
2023-03-26 11:16:25.794835,NceBitten: 5,SuspiciousForgiving
2023-03-26 11:25:12.033953,CoastClear,SuspiciousForgiving
2023-03-26 11:33:34.898790,Cooperator,SuspiciousForgiving
2023-03-26 11:42:48.331940,Cooperator,SuspiciousGrudge
2023-03-26 11:51:57.347447,Cooperator,Grudge
2023-03-26 12:01:51.385541,Cooperator,SuspiciousGrudge
2023-03-26 12:13:22.912948,Cooperator,Grudge
2023-03-26 12:19:11.042315,Cooperator,SuspiciousGrudge
2023-03-26 12:25:52.601319,Careful,SuspiciousForgiving
2023-03-26 12:31:58.684885,CoastClear,SuspiciousForgiving
2023-03-26 12:40:41.834116,NceBitten: 5,SuspiciousGrudge
2023-03-26 12:47:59.202658,Cooperator,SuspiciousForgiving
2023-03-26 12:55:33.148045,CoastClear,SuspiciousForgiving
2023-03-26 13:01:34.859661,NceBitten: 5,SuspiciousForgiving
2023-03-26 13:10:46.000535,Cooperator,SuspiciousGrudge
2023-03-26 13:15:39.278441,Cooperator,SuspiciousGrudge
2023-03-26 13:23:37.494788,CoastClear,Random: 0.2
2023-03-26 13:35:14.298056,NceBitten: 5,SuspiciousForgiving
2023-03-26 13:49:37.497108,NceBitten: 5,SuspiciousGrudge
2023-03-26 13:56:15.117585,CoastClear,BudgetStretcher
2023-03-26 14:06:38.400131,Cooperator,Grudge
2023-03-26 14:19:51.471890,Cooperator,SuspiciousForgiving
2023-03-26 14:29:49.597566,NceBitten: 5,SuspiciousGrudge
2023-03-28 08:18:51.583934,Cooperator,Grudge
2023-03-28 08:37:34.693782,NceBitten: 5,SuspiciousGrudge
2023-03-28 12:36:24.104336,Cooperator,SuspiciousGrudge
2023-03-28 12:45:28.677649,CoastClear,SuspiciousGrudge
2023-03-28 12:58:23.620716,NceBitten: 5,SuspiciousGrudge
2023-03-28 13:06:09.611817,NceBitten: 5,SuspiciousGrudge
2023-03-28 13:12:36.283784,NceBitten: 5,SuspiciousForgiving
2023-03-28 13:20:52.097405,Cooperator,SuspiciousGrudge
2023-03-28 13:26:46.088564,NceBitten: 5,SuspiciousGrudge
2023-03-28 13:35:19.914344,CoastClear,SuspiciousForgiving
2023-03-30 18:55:53.654434,Cooperator,SuspiciousGrudge
